城市名,类型,id,AQI,PM2.5,PM10,SO2,NO2,CO,O3,排名,日期
上饶,1 ,5 ,64 ,37 ,76 ,25 ,27 ,1 ,74 ,240 ,2019年10月1日
九江,1 ,7 ,73 ,48 ,72 ,12 ,33 ,1 ,65 ,277 ,2019年10月1日
南昌,1 ,1 ,72 ,42 ,91 ,10 ,36 ,1 ,68 ,270 ,2019年10月1日
吉安,1 ,4 ,69 ,42 ,85 ,20 ,26 ,1 ,74 ,267 ,2019年10月1日
宜春,1 ,3 ,35 ,17 ,36 ,8 ,14 ,1 ,48 ,88 ,2019年10月1日
抚州,1 ,6 ,63 ,40 ,73 ,8 ,19 ,1 ,82 ,238 ,2019年10月1日
新余,1 ,10 ,67 ,42 ,82 ,22 ,25 ,1 ,66 ,257 ,2019年10月1日
景德镇,1 ,8 ,58 ,33 ,68 ,11 ,21 ,1 ,56 ,201 ,2019年10月1日
萍乡,1 ,9 ,67 ,41 ,80 ,21 ,32 ,1 ,59 ,253 ,2019年10月1日
赣州,1 ,2 ,62 ,39 ,67 ,15 ,24 ,1 ,87 ,235 ,2019年10月1日
鹰潭,1 ,11 ,73 ,49 ,68 ,21 ,24 ,1 ,82 ,273 ,2019年10月1日
上饶,1 ,5 ,65 ,38 ,81 ,20 ,36 ,1 ,47 ,198 ,2019年11月1日
九江,1 ,7 ,75 ,50 ,80 ,12 ,41 ,1 ,51 ,233 ,2019年11月1日
南昌,1 ,1 ,76 ,45 ,102 ,12 ,47 ,1 ,56 ,246 ,2019年11月1日
吉安,1 ,4 ,72 ,43 ,95 ,21 ,36 ,1 ,61 ,234 ,2019年11月1日
宜春,1 ,3 ,29 ,17 ,26 ,8 ,12 ,1 ,42 ,33 ,2019年11月1日
抚州,1 ,6 ,63 ,38 ,77 ,9 ,26 ,1 ,68 ,187 ,2019年11月1日
新余,1 ,10 ,68 ,41 ,87 ,27 ,37 ,1 ,50 ,214 ,2019年11月1日
景德镇,1 ,8 ,57 ,31 ,68 ,13 ,27 ,1 ,42 ,150 ,2019年11月1日
萍乡,1 ,9 ,76 ,50 ,98 ,26 ,38 ,1 ,49 ,246 ,2019年11月1日
赣州,1 ,2 ,62 ,38 ,76 ,17 ,33 ,1 ,71 ,179 ,2019年11月1日
鹰潭,1 ,11 ,69 ,46 ,73 ,27 ,32 ,0 ,58 ,216 ,2019年11月1日
上饶,1 ,5 ,62 ,41 ,77 ,32 ,41 ,1 ,29 ,158 ,2019年12月1日
九江,1 ,7 ,92 ,67 ,73 ,12 ,45 ,1 ,28 ,244 ,2019年12月1日
南昌,1 ,1 ,82 ,59 ,94 ,11 ,54 ,1 ,29 ,219 ,2019年12月1日
吉安,1 ,4 ,66 ,44 ,82 ,20 ,39 ,1 ,37 ,174 ,2019年12月1日
宜春,1 ,3 ,55 ,39 ,46 ,10 ,22 ,1 ,31 ,124 ,2019年12月1日
抚州,1 ,6 ,61 ,42 ,69 ,9 ,31 ,1 ,41 ,151 ,2019年12月1日
新余,1 ,10 ,70 ,48 ,87 ,31 ,48 ,1 ,27 ,183 ,2019年12月1日
景德镇,1 ,8 ,55 ,35 ,65 ,14 ,32 ,1 ,25 ,126 ,2019年12月1日
萍乡,1 ,9 ,91 ,67 ,104 ,22 ,44 ,2 ,24 ,243 ,2019年12月1日
赣州,1 ,2 ,56 ,36 ,67 ,14 ,36 ,1 ,48 ,130 ,2019年12月1日
鹰潭,1 ,11 ,70 ,51 ,59 ,29 ,37 ,1 ,33 ,182 ,2019年12月1日
上饶,1 ,5 ,56 ,31 ,59 ,10 ,20 ,1 ,102 ,238 ,2019年9月1日
九江,1 ,7 ,62 ,36 ,59 ,11 ,22 ,1 ,111 ,261 ,2019年9月1日
南昌,1 ,1 ,56 ,30 ,63 ,8 ,25 ,1 ,107 ,241 ,2019年9月1日
吉安,1 ,4 ,62 ,34 ,69 ,18 ,18 ,1 ,111 ,277 ,2019年9月1日
宜春,1 ,3 ,21 ,10 ,18 ,6 ,9 ,0 ,41 ,21 ,2019年9月1日
抚州,1 ,6 ,56 ,33 ,58 ,9 ,14 ,1 ,110 ,236 ,2019年9月1日
新余,1 ,10 ,57 ,33 ,64 ,18 ,18 ,1 ,103 ,243 ,2019年9月1日
景德镇,1 ,8 ,47 ,25 ,50 ,9 ,17 ,1 ,75 ,177 ,2019年9月1日
萍乡,1 ,9 ,62 ,31 ,69 ,21 ,27 ,1 ,98 ,277 ,2019年9月1日
赣州,1 ,2 ,55 ,32 ,55 ,14 ,17 ,1 ,107 ,232 ,2019年9月1日
鹰潭,1 ,11 ,61 ,38 ,56 ,18 ,21 ,1 ,106 ,257 ,2019年9月1日
上饶,1 ,5 ,49 ,32 ,51 ,11 ,23 ,1 ,33 ,111 ,2020年1月1日
九江,1 ,7 ,80 ,59 ,66 ,8 ,27 ,1 ,34 ,202 ,2020年1月1日
南昌,1 ,1 ,63 ,45 ,58 ,6 ,31 ,1 ,35 ,154 ,2020年1月1日
吉安,1 ,4 ,51 ,33 ,57 ,12 ,26 ,1 ,35 ,118 ,2020年1月1日
宜春,1 ,3 ,84 ,62 ,68 ,12 ,27 ,1 ,40 ,198 ,2020年1月1日
抚州,1 ,6 ,52 ,36 ,52 ,6 ,23 ,1 ,37 ,121 ,2020年1月1日
新余,1 ,10 ,50 ,33 ,55 ,14 ,26 ,1 ,34 ,115 ,2020年1月1日
景德镇,1 ,8 ,38 ,24 ,36 ,7 ,18 ,1 ,27 ,72 ,2020年1月1日
萍乡,1 ,9 ,75 ,54 ,73 ,13 ,29 ,2 ,25 ,193 ,2020年1月1日
赣州,1 ,2 ,43 ,28 ,45 ,8 ,20 ,1 ,46 ,87 ,2020年1月1日
鹰潭,1 ,11 ,58 ,41 ,39 ,15 ,23 ,1 ,31 ,138 ,2020年1月1日
上饶,1 ,5 ,41 ,25 ,41 ,6 ,11 ,1 ,51 ,123 ,2020年2月1日
九江,1 ,7 ,53 ,37 ,45 ,8 ,16 ,1 ,52 ,173 ,2020年2月1日
南昌,1 ,1 ,47 ,31 ,42 ,6 ,18 ,1 ,53 ,148 ,2020年2月1日
吉安,1 ,4 ,44 ,27 ,46 ,8 ,13 ,1 ,53 ,143 ,2020年2月1日
宜春,1 ,3 ,42 ,28 ,35 ,8 ,11 ,1 ,59 ,120 ,2020年2月1日
抚州,1 ,6 ,43 ,28 ,42 ,6 ,12 ,1 ,54 ,131 ,2020年2月1日
新余,1 ,10 ,43 ,27 ,43 ,12 ,13 ,1 ,54 ,135 ,2020年2月1日
景德镇,1 ,8 ,32 ,20 ,29 ,5 ,10 ,1 ,39 ,76 ,2020年2月1日
萍乡,1 ,9 ,51 ,35 ,48 ,10 ,17 ,1 ,38 ,175 ,2020年2月1日
赣州,1 ,2 ,34 ,21 ,32 ,4 ,10 ,1 ,56 ,82 ,2020年2月1日
鹰潭,1 ,11 ,48 ,33 ,34 ,18 ,10 ,1 ,49 ,161 ,2020年2月1日
上饶,1 ,5 ,44 ,26 ,47 ,12 ,22 ,1 ,45 ,133 ,2020年3月1日
九江,1 ,7 ,60 ,40 ,58 ,10 ,26 ,1 ,56 ,218 ,2020年3月1日
南昌,1 ,1 ,51 ,32 ,58 ,8 ,30 ,1 ,51 ,176 ,2020年3月1日
吉安,1 ,4 ,41 ,23 ,44 ,12 ,20 ,1 ,47 ,120 ,2020年3月1日
宜春,1 ,3 ,34 ,20 ,30 ,6 ,11 ,1 ,67 ,75 ,2020年3月1日
抚州,1 ,6 ,40 ,24 ,42 ,7 ,17 ,1 ,54 ,107 ,2020年3月1日
新余,1 ,10 ,44 ,26 ,47 ,16 ,22 ,1 ,47 ,137 ,2020年3月1日
景德镇,1 ,8 ,42 ,25 ,45 ,9 ,18 ,1 ,45 ,119 ,2020年3月1日
萍乡,1 ,9 ,45 ,29 ,46 ,15 ,23 ,1 ,38 ,141 ,2020年3月1日
赣州,1 ,2 ,34 ,20 ,34 ,7 ,17 ,1 ,49 ,78 ,2020年3月1日
鹰潭,1 ,11 ,49 ,32 ,36 ,18 ,19 ,1 ,50 ,160 ,2020年3月1日
上饶,1 ,5 ,56 ,34 ,62 ,14 ,26 ,1 ,66 ,178 ,2020年4月1日
九江,1 ,7 ,64 ,41 ,67 ,14 ,35 ,1 ,76 ,209 ,2020年4月1日
南昌,1 ,1 ,66 ,43 ,79 ,10 ,43 ,1 ,67 ,237 ,2020年4月1日
吉安,1 ,4 ,54 ,34 ,61 ,15 ,27 ,1 ,60 ,170 ,2020年4月1日
宜春,1 ,3 ,28 ,14 ,23 ,5 ,12 ,1 ,62 ,34 ,2020年4月1日
抚州,1 ,6 ,52 ,32 ,54 ,8 ,22 ,1 ,76 ,150 ,2020年4月1日
新余,1 ,10 ,56 ,36 ,64 ,24 ,29 ,1 ,66 ,179 ,2020年4月1日
景德镇,1 ,8 ,55 ,33 ,63 ,14 ,28 ,1 ,53 ,174 ,2020年4月1日
萍乡,1 ,9 ,61 ,40 ,67 ,19 ,34 ,1 ,53 ,211 ,2020年4月1日
赣州,1 ,2 ,45 ,29 ,48 ,11 ,25 ,1 ,54 ,124 ,2020年4月1日
鹰潭,1 ,11 ,63 ,43 ,50 ,23 ,24 ,1 ,75 ,215 ,2020年4月1日
